"","district","year","cases","population","smr","prec_mean","crop_rainfed_n_patches","tree_shrub_n_patches","mos_crop_n_patches","mos_natural_n_patches","broad_evg_clop_n_patches","flood_fresh_n_patches","flood_salt_n_patches","urban_n_patches","water_n_patches","crop_rainfed_total_area","tree_shrub_total_area","mos_crop_total_area","mos_natural_total_area","broad_evg_clop_total_area","flood_fresh_total_area","flood_salt_total_area","urban_total_area","water_total_area","crop_rainfed_patch_density","tree_shrub_patch_density","mos_crop_patch_density","mos_natural_patch_density","broad_evg_clop_patch_density","flood_fresh_patch_density","flood_salt_patch_density","urban_patch_density","water_patch_density","herbaceous_n_patches","herbaceous_total_area","herbaceous_patch_density","crop_irrigate_n_patches","sparse_veg_n_patches","crop_irrigate_total_area","sparse_veg_total_area","crop_irrigate_patch_density","sparse_veg_patch_density","mos_herb_tree_n_patches","mos_herb_tree_total_area","mos_herb_tree_patch_density","shrub_n_patches","shrub_total_area","shrub_patch_density","shrub_evg_n_patches","shrub_evg_total_area","shrub_evg_patch_density","district_area","pop_density","log_smr","crop_rainfed_prop","herbaceous_prop","tree_shrub_prop","mos_crop_prop","mos_natural_prop","broad_evg_clop_prop","shrub_prop","shrub_evg_prop","sparse_veg_prop","flood_fresh_prop","flood_salt_prop","urban_prop","water_prop","crop_irrigate_prop"
"1","Asajaya",2010,1,31874,0.067888535,11.56235075,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4215.173945,372.7672205,1338.137654,57.34934925,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970.51992085,2.45741883860514,-2.68988810992631,0.0169490261717738,0,0.289609948785602,0.0906416957974152,0.121592751071203,0.324981108754487,0,0,0,0.0287395742633863,0.10316761873585,0.00442151506647096,0.0198967613538107,0
"2","Asajaya",2011,2,35061.4,0.132301547,11.44695425,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4215.173945,372.7672205,1338.137654,57.34934925,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970.51992085,2.70316072246565,-2.0226715148079,0.0169490261717738,0,0.289609948785602,0.0906416957974152,0.121592751071203,0.324981108754487,0,0,0,0.0287395742633863,0.10316761873585,0.00442151506647096,0.0198967613538107,0
"3","Asajaya",2012,1,38567.54,0.063652469,9.879909039,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4205.615751,372.7672205,1338.137654,66.90754305,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970.51992065,2.97347679475807,-2.75431716447181,0.0169490261720351,0,0.289609948790068,0.0906416957988129,0.121592751073078,0.32424419196214,0,0,0,0.0287395742638295,0.103167618737441,0.00515843184847805,0.0198967613541175,0
"4","Asajaya",2013,1,42424.294,0.077528707,10.62160206,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4205.615751,372.7672205,1338.137654,66.90754305,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970.51992065,3.27082447423387,-2.55710699830553,0.0169490261720351,0,0.289609948790068,0.0906416957988129,0.121592751073078,0.32424419196214,0,0,0,0.0287395742638295,0.103167618737441,0.00515843184847805,0.0198967613541175,0
"5","Asajaya",2014,1,46666.7234,0.072052701,9.438950539,7,16,25,23,20,7,8,6,20,219.8376816,3804.183116,1233.01988,1615.354495,4062.24099,372.7672205,1338.137654,66.90754305,258.0713395,0.000539685,0.001233567,0.001927448,0.001773252,0.001541958,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970.51991965,3.59790692193465,-2.6303574693836,0.0169490261733419,0,0.293294574123953,0.0950632578831329,0.12454045828593,0.313190297317674,0,0,0,0.0287395742660452,0.103167618745395,0.00515843184887576,0.0198967613556515,0
"6","Bau",2010,80,54246,3.191209172,11.27702332,11,5,97,68,26,3,18,10,0,382.3481001,114.7051066,7799.968815,22654.42009,62334.42652,66.91339219,869.8848862,248.5281385,0,0.00011598,5.27e-05,0.001022732,0.000716967,0.000274134,3.16e-05,0.000189785,0.000105436,0,14,372.7918403,0.000147611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94843.98688889,0.571949807039948,1.16039989575885,0.00403133727969409,0.00393057960265553,0.00120940831741265,0.0822399929701151,0.238859845870247,0.657231191609701,0,0,0,0.000705510115980143,0.00917174524958628,0.0026203889846085,0,0
"7","Bau",2011,55,59670.6,2.137797015,11.26248646,11,5,99,67,26,3,18,10,0,382.3481001,114.7051066,7857.321693,22912.50476,62018.98897,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27e-05,0.001043819,0.000706423,0.000274134,3.16e-05,0.000189785,0.000105436,0,13,363.232985,0.000137067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94843.98688699,0.629144787756546,0.759775866561477,0.00403133727977485,0.00382979455969945,0.00120940831743688,0.082844700553998,0.241580995401438,0.653905334493138,0,0,0,0.000705510115994277,0.00917174524977001,0.00272117402875018,0,0
"8","Bau",2012,2,65637.66,0.074802153,9.434926033,11,5,99,67,26,3,18,10,0,382.3481001,114.7051066,7857.321693,22912.50476,62018.98897,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27e-05,0.001043819,0.000706423,0.000274134,3.16e-05,0.000189785,0.000105436,0,13,363.232985,0.000137067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94843.98688699,0.692059266532201,-2.59290861099348,0.00403133727977485,0.00382979455969945,0.00120940831743688,0.082844700553998,0.241580995401438,0.653905334493138,0,0,0,0.000705510115994277,0.00917174524977001,0.00272117402875018,0,0
"9","Bau",2013,2,72201.426,0.091109022,10.58963648,11,5,99,67,26,3,18,10,0,382.3481001,114.7051066,7857.321693,22912.50476,62018.98897,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27e-05,0.001043819,0.000706423,0.000274134,3.16e-05,0.000189785,0.000105436,0,13,363.232985,0.000137067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94843.98688699,0.761265193185421,-2.39569844559123,0.00403133727977485,0.00382979455969945,0.00120940831743688,0.082844700553998,0.241580995401438,0.653905334493138,0,0,0,0.000705510115994277,0.00917174524977001,0.00272117402875018,0,0
"10","Bau",2014,1,79421.5686,0.042336906,8.901888529,11,5,97,63,26,3,18,10,0,382.3481001,114.7051066,7360.263095,23466.93598,61846.90655,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27e-05,0.001022732,0.000664249,0.000274134,3.16e-05,0.000189785,0.000105436,0,18,477.9427964,0.000189785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94843.98690039,0.837391712385653,-3.16209609105182,0.00403133727920529,0.00503925248209947,0.00120940831726601,0.0776038981019442,0.247426713563256,0.652090960863494,0,0,0,0.000705510115894599,0.00917174524847419,0.00272117402836572,0,0
"11","Belaga",2010,41,36114,2.456638576,10.94901816,109,209,302,324,131,213,7,0,36,10534.02644,10410.11471,29795.26189,41683.93302,1758411.636,101206.7202,143.2825802,0,1232.226758,5.54e-05,0.000106151,0.000153386,0.00016456,6.65e-05,0.000108183,3.56e-06,0,1.83e-05,104,15174.76474,5.28e-05,2,11,57.30392073,238.7650819,1.02e-06,5.59e-06,0,0,0,0,0,0,0,0,0,1968888.03534083,0.0183423330081583,0.898793983003718,0.00535024148195226,0.00770727662905074,0.00528730660308875,0.0151330402517491,0.0211713069873901,0.89309884789645,0,0,0.000121268999361189,0.0514029840109625,7.27733510632039e-05,0,0.000625849076169886,2.91047127624402e-05
"12","Belaga",2011,12,39725.4,0.700611318,9.325809797,111,223,323,329,133,302,7,0,59,10495.82204,10620.23556,30138.98223,42381.0168,1745087.286,69895.18691,143.2825802,0,39278.89932,5.64e-05,0.000113262,0.000164052,0.000167099,6.76e-05,0.000153386,3.56e-06,0,3e-05,112,20436.6483,5.69e-05,3,16,66.84990931,343.8258361,1.52e-06,8.13e-06,0,0,0,0,0,0,0,0,0,1968888.03548561,0.0201765663074904,-0.355802013624715,0.00533083743251621,0.0103797920103463,0.00539402717096638,0.0153076161197589,0.0215253564632217,0.886331398509204,0,0,0.000174629450686462,0.0354998281518639,7.27733510578526e-05,0,0.0199497882114521,3.39531289261515e-05
"13","Belaga",2012,18,43697.94,1.011227173,9.921115716,111,238,355,343,116,404,7,0,67,10495.82204,10839.90415,30864.82807,43068.53774,1736252.13,55155.26292,143.2825802,0,55567.00512,5.64e-05,0.00012088,0.000180305,0.00017421,5.89e-05,0.000205192,3.56e-06,0,3.4e-05,117,26052.38566,5.94e-05,3,18,66.84990931,362.9275334,1.52e-06,9.14e-06,1,19.10028388,5.08e-07,0,0,0,0,0,0,1968868.93572291,0.0221944382417489,0.0111646160826371,0.00533088914633429,0.0132321584171037,0.00550565045408668,0.0156764259468939,0.0218747611679832,0.881852569512201,0,0,0.000184333008061171,0.0280136792852332,7.27740570234508e-05,0,0.0282228055467783,3.39534583014053e-05
"14","Belaga",2013,8,48067.734,0.547410976,9.818957647,111,244,369,352,113,417,7,0,62,10495.82204,10973.61637,31094.04166,43488.77346,1733931.298,53636.70723,143.2825802,0,56703.77116,5.64e-05,0.000123928,0.000187415,0.000178781,5.74e-05,0.000211795,3.56e-06,0,3.15e-05,116,27971.84555,5.89e-05,3,18,66.84990931,362.9275334,1.52e-06,9.14e-06,1,19.10028388,5.08e-07,0,0,0,0,0,0,1968868.93549291,0.0244138820687758,-0.602555431425685,0.00533088914695703,0.014207063276661,0.00557356367007372,0.0157928448661391,0.0220882013403866,0.880673805524748,0,0,0.000184333008082704,0.0272423960087379,7.27740570319522e-05,0,0.028800175642877,3.39534583053717e-05
"15","Belaga",2014,5,52874.5074,0.317966413,8.609853427,111,246,380,352,104,512,7,0,75,10524.47052,10992.71276,31361.4413,44376.93491,1725631.324,35497.77552,143.2825802,0,79523.37656,5.64e-05,0.000124944,0.000193002,0.000178781,5.28e-05,0.000260045,3.56e-06,0,3.81e-05,121,30359.18669,6.15e-05,3,20,66.84990931,391.5802919,1.52e-06,1.02e-05,1,19.10028388,5.08e-07,0,0,0,0,0,0,1968868.93504141,0.0268552702818118,-1.14580952127695,0.00534543987803772,0.0154196077502546,0.00558326283906186,0.0159286587044152,0.0225393037191004,0.876458200587997,0,0,0.000198885911058251,0.0180295269472843,7.27740570486407e-05,0,0.0403903861474291,3.39534583131578e-05
"16","Betong",2010,14,62131,0.487587649,10.98626537,44,35,207,238,143,61,68,17,51,1213.910105,3068.125134,20167.833,42582.06396,115798.0924,32985.90506,4664.443092,458.8012332,6767.332042,0.000191185,0.000152079,0.000899437,0.001034136,0.000621351,0.000265052,0.000295467,7.39e-05,0.000221601,56,2427.780329,0.000243326,0,1,0,9.558682128,0,4.35e-06,0,0,0,0,0,0,0,0,0,230143.845037328,0.269965942343245,-0.718285211884514,0.00527457123523382,0.0105489691831916,0.0133313369015034,0.0876314245846066,0.185023692261218,0.50315528699548,0,0,4.15335119062152e-05,0.143327339710736,0.020267511787002,0.0019935411834524,0.0294047926456707,0
"17","Betong",2011,54,68344.1,1.832554556,10.03989105,44,35,205,231,146,60,69,17,51,1204.352153,3087.2406,20177.39007,43432.73941,114918.7434,32976.34728,4674.002284,468.3591854,6748.215179,0.000191185,0.000152079,0.000890747,0.00100372,0.000634386,0.000260707,0.000299812,7.39e-05,0.000221601,58,2446.89673,0.000252016,0,1,0,9.558682128,0,4.35e-06,0,0,0,0,0,0,0,0,0,230143.844973528,0.296962536659893,0.605710925686126,0.00523304089726375,0.0106320320244995,0.013414395680906,0.0876729511159461,0.188719969525997,0.499334420232783,0,0,4.1533511917729e-05,0.143285810158395,0.0203090475199874,0.00203507152430634,0.0293217278079985,0
