,District,Year,Disease,Number.Cases,Incidence.Rate,Prevalence,Number.Deaths,Mortality.Rates,population,prec_mean,CropRainfed.n.patches,Herbaceous.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,Shrub.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,Herbaceous.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,Shrub.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,Herbaceous.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,Shrub.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,SparseVeg.n.patches,SparseVeg.total.area,SparseVeg.patch.density,CropIrrigate.n.patches,MosTreeHerb.n.patches,ShrubEvg.n.patches,Grass.n.patches,CropIrrigate.total.area,MosTreeHerb.total.area,ShrubEvg.total.area,Grass.total.area,CropIrrigate.patch.density,MosTreeHerb.patch.density,ShrubEvg.patch.density,Grass.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,SMR
1,Beaufort,2000,malaria,22,3.6,0.000339737,0,0,64756,9.866551233,39,15,11,164,173,158,1,59,34,13,30,2103.709737,1151.868266,485.4939801,43042.80552,42173.77379,60740.57291,38.07865457,4598.174933,12958.67611,390.3364561,561.7939336,0.000231804,8.92E-05,6.54E-05,0.000974767,0.001028261,0.000939105,5.94E-06,0.000350678,0.000202086,7.73E-05,0.000178311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153213202
2,Beluran,2000,malaria,335,47.2,0.004159837,0,0,80532,8.643507779,84,46,295,587,690,418,25,243,97,20,339,3089.289928,2443.138238,29546.62778,158435.4455,96041.43314,432364.9277,1254.474499,11761.04915,82820.73057,1311.328305,7262.209907,0.000101654,5.57E-05,0.000357,0.000710369,0.000835017,0.000505851,3.03E-05,0.000294071,0.000117386,2.42E-05,0.000410247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875987086
3,Keningau,2000,malaria,71,4.9,0.000457861,1,1.4,155069,8.93231261,69,63,35,285,124,153,17,13,0,35,0,2418.442112,11158.34836,6133.21534,64643.97267,115032.4233,112310.4262,2561.397035,447.6001244,0,818.9192758,0,0.000218683,0.000199667,0.000110926,0.000903257,0.000392996,0.000484907,5.39E-05,4.12E-05,0,0.000110926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206484228
4,Kinabatangan,2000,malaria,1353,155.9,0.013950467,1,0.1,96986,7.593797574,220,21,536,427,480,274,0,162,67,19,211,17887.0564,951.7999328,44072.71515,98768.40947,36540.72348,467325.1084,0,15627.55432,72927.41669,561.5426386,7651.387986,0.000288595,2.75E-05,0.000703123,0.000560137,0.000629662,0.000359432,0,0.000212511,8.79E-05,2.49E-05,0.000276789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.291327175
5,Kota Belud,2000,malaria,69,9.5,0.000913085,0,0,75568,8.701132948,54,33,1,109,141,57,6,18,22,17,50,8048.627877,2584.66399,19.01776766,25106.8626,15177.35744,78304.59955,104.5524345,684.1315924,2726.845371,418.1494605,893.1161795,0.000400339,0.000244652,7.41E-06,0.000808092,0.001045331,0.00042258,4.45E-05,0.000133446,0.000163101,0.000126033,0.000370685,5,161.5957902,3.71E-05,4,9,1,1,114.0660579,475.4088419,38.03177387,28.52369668,2.97E-05,6.67E-05,7.41E-06,7.41E-06,0,0,0,0.411779465
6,Kota Kinabalu,2000,malaria,90,2.5,0.000241905,1,1.1,372047,9.025258344,76,50,0,48,46,29,1,1,14,34,45,2843.145798,1093.508314,0,4592.903184,3166.411483,15120.40128,142.5875803,19.0151247,1740.079318,7531.189999,694.1047082,0.00205456,0.001351684,0,0.001297617,0.001243549,0.000783977,2.70E-05,2.70E-05,0.000378472,0.000919145,0.001216516,0,0,0,4,0,0,0,47.54341143,0,0,0,0.000108135,0,0,0,0,0,0,0.109093337
7,Kota Marudu,2000,malaria,189,32.1,0.003066091,1,0.5,61642,8.713687686,18,21,1,156,117,43,0,20,5,5,27,2859.645999,978.603798,19.00852162,27656.78064,22802.78918,113074.242,0,1140.017339,5822.897917,133.0055272,1073.33851,0.000102529,0.000119617,5.70E-06,0.000888583,0.000666438,0.00024493,0,0.000113921,2.85E-05,2.85E-05,0.000153793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.382733884
8,Kuala Penyu,2000,malaria,1,0.6,5.80E-05,0,0,17228,9.966447955,12,1,1,35,72,24,1,41,32,4,78,485.4229125,19.03528339,19.03867109,7072.212697,7281.626731,15924.15691,47.59528693,2008.538856,11805.00854,57.10569519,1865.624631,0.000257381,2.14E-05,2.14E-05,0.000750695,0.001544288,0.000514763,2.14E-05,0.000879386,0.00068635,8.58E-05,0.001672978,1,38.07087947,2.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026176927
9,Kudat,2000,malaria,111,16.3,0.001513313,0,0,73349,8.60471794,51,14,0,138,184,93,7,110,102,12,245,2476.396511,445.9914768,0,16954.14398,15662.96684,65278.61148,151.7627479,3282.974338,19944.84863,825.8408905,5958.342885,0.00038296,0.000105126,0,0.001036245,0.00138166,0.000698339,5.26E-05,0.000825993,0.00076592,9.01E-05,0.001839711,12,1982.522464,9.01E-05,7,0,1,0,180.2608133,0,28.45347692,0,5.26E-05,0,7.51E-06,0,0,0,0,0.682468017
10,Kunak,2000,malaria,342,70.2,0.006542825,1,0.3,52271,6.625542901,24,1,115,146,123,42,0,9,21,3,37,1991.639416,28.58949523,6375.118903,18496.76552,8957.668865,69032.0231,0,266.7878536,4144.884244,114.3574549,1400.73286,0.00021659,9.02E-06,0.001037826,0.001317588,0.001110022,0.000379032,0,8.12E-05,0.000189516,2.71E-05,0.000333909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.950657625
