,district,year,case_number,population,population_year,cases_year,expected,SIR,mean,sd,CropRainfed.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,Herbaceous.n.patches,Herbaceous.total.area,Herbaceous.patch.density,CropIrrigate.n.patches,SparseVeg.n.patches,CropIrrigate.total.area,SparseVeg.total.area,CropIrrigate.patch.density,SparseVeg.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,Shrub.n.patches,Shrub.total.area,Shrub.patch.density,ShrubEvg.n.patches,ShrubEvg.total.area,ShrubEvg.patch.density
1,Asajaya,2010,1,31874,2471150,1142,14.73002772,0.067888535,11.56235075,0.13315909,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4215.173945,372.7672205,1338.137654,57.34934925,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Asajaya,2011,2,35061.4,2718265,1172,15.11698116,0.132301547,11.44695425,0.286463026,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4215.173945,372.7672205,1338.137654,57.34934925,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Asajaya,2012,1,38567.54,2990091.5,1218,15.71030977,0.063652469,9.879909039,0.069809342,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4205.615751,372.7672205,1338.137654,66.90754305,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Asajaya,2013,1,42424.294,3289100.65,1000,12.89844809,0.077528707,10.62160206,0.305941613,7,15,27,21,21,7,8,6,20,219.8376816,3756.39161,1175.669921,1577.1212,4205.615751,372.7672205,1338.137654,66.90754305,258.0713395,0.000539685,0.001156469,0.002081644,0.001619056,0.001619056,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Asajaya,2014,1,46666.7234,3618010.715,1076,13.87873015,0.072052701,9.438950539,0.111006032,7,16,25,23,20,7,8,6,20,219.8376816,3804.183116,1233.01988,1615.354495,4062.24099,372.7672205,1338.137654,66.90754305,258.0713395,0.000539685,0.001233567,0.001927448,0.001773252,0.001541958,0.000539685,0.000616783,0.000462587,0.001541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bau,2010,80,54246,2471150,1142,25.06886753,3.191209172,11.27702332,0.856320493,11,5,97,68,26,3,18,10,0,382.3481001,114.7051066,7799.968815,22654.42009,62334.42652,66.91339219,869.8848862,248.5281385,0,0.00011598,5.27E-05,0.001022732,0.000716967,0.000274134,3.16E-05,0.000189785,0.000105436,0,14,372.7918403,0.000147611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bau,2011,55,59670.6,2718265,1172,25.72741922,2.137797015,11.26248646,0.691551761,11,5,99,67,26,3,18,10,0,382.3481001,114.7051066,7857.321693,22912.50476,62018.98897,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27E-05,0.001043819,0.000706423,0.000274134,3.16E-05,0.000189785,0.000105436,0,13,363.232985,0.000137067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bau,2012,2,65637.66,2990091.5,1218,26.73719847,0.074802153,9.434926033,0.841434249,11,5,99,67,26,3,18,10,0,382.3481001,114.7051066,7857.321693,22912.50476,62018.98897,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27E-05,0.001043819,0.000706423,0.000274134,3.16E-05,0.000189785,0.000105436,0,13,363.232985,0.000137067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bau,2013,2,72201.426,3289100.65,1000,21.95172288,0.091109022,10.58963648,0.529324986,11,5,99,67,26,3,18,10,0,382.3481001,114.7051066,7857.321693,22912.50476,62018.98897,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27E-05,0.001043819,0.000706423,0.000274134,3.16E-05,0.000189785,0.000105436,0,13,363.232985,0.000137067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bau,2014,1,79421.5686,3618010.715,1076,23.62005382,0.042336906,8.901888529,0.887032058,11,5,97,63,26,3,18,10,0,382.3481001,114.7051066,7360.263095,23466.93598,61846.90655,66.91339219,869.8848862,258.0869939,0,0.00011598,5.27E-05,0.001022732,0.000664249,0.000274134,3.16E-05,0.000189785,0.000105436,0,18,477.9427964,0.000189785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
